1.0_prev,2.0_prev,3.0_prev,4.0_prev,5.0_prev,6.0_prev,7.0_prev,8.0_prev,9.0_prev,10.0_prev,11.0_prev,12.0_prev,13.0_prev,14.0_prev,15.0_prev
0.08222222222222222,0.22388059701492538,0.36363636363636365,0.18537590113285274,0.14334470989761092,0.3189771197846568,0.08506616257088846,0.2968197879858657,0.0642570281124498,0.14435389988358557,0.3180693069306931,0.25783619817997977,0.1390909090909091,0.13111111111111112,0.27280858676207514
0.09777777777777778,0.19502487562189055,0.3894912427022519,0.17301750772399588,0.17292377701934017,0.2449528936742934,0.11342155009451796,0.26501766784452296,0.14457831325301204,0.20954598370197905,0.18564356435643564,0.23356926188068755,0.14,0.10333333333333333,0.3032200357781753
0.11222222222222222,0.24378109452736318,0.30692243536280234,0.25746652935118436,0.20136518771331058,0.29878869448183043,0.10964083175803403,0.43462897526501765,0.08433734939759036,0.19557625145518046,0.2524752475247525,0.23154701718907988,0.14545454545454545,0.12222222222222222,0.23881932021466906
0.09333333333333334,0.9054726368159204,0.3311092577147623,0.30072090628218334,0.17633674630261661,0.38896366083445494,0.08506616257088846,0.31095406360424027,0.0963855421686747,0.20023282887077998,0.22400990099009901,0.1718907987866532,0.1781818181818182,0.08888888888888889,0.27906976744186046
0.08444444444444445,0.19402985074626866,0.3102585487906589,0.15653964984552007,0.08646188850967008,0.18707940780619112,0.05671077504725898,0.21201413427561838,0.060240963855421686,0.10477299185098952,0.1188118811881188,0.134479271991911,0.08181818181818182,0.11888888888888889,0.20304114490161002
0.08444444444444445,0.19402985074626866,0.3102585487906589,0.15653964984552007,0.08646188850967008,0.18707940780619112,0.05671077504725898,0.21201413427561838,0.060240963855421686,0.10477299185098952,0.1188118811881188,0.134479271991911,0.08181818181818182,0.11888888888888889,0.20304114490161002
0.13,0.208955223880597,0.475396163469558,0.25952626158599384,0.15130830489192265,0.2503364737550471,0.05671077504725898,0.23674911660777384,0.09236947791164658,0.239813736903376,0.22524752475247525,0.1789686552072801,0.15545454545454546,0.1111111111111111,0.25402504472271914
0.13,0.208955223880597,0.475396163469558,0.25952626158599384,0.15130830489192265,0.2503364737550471,0.05671077504725898,0.23674911660777384,0.09236947791164658,0.239813736903376,0.22524752475247525,0.1789686552072801,0.15545454545454546,0.1111111111111111,0.25402504472271914
0.11444444444444445,0.1791044776119403,0.42201834862385323,0.25952626158599384,0.15358361774744028,0.3028263795423957,0.10396975425330812,0.2968197879858657,0.08433734939759036,0.15715948777648428,0.2660891089108911,0.17087967644084934,0.1409090909090909,0.09888888888888889,0.33184257602862255
0.12777777777777777,0.2218905472636816,0.40950792326939117,0.18640576725025745,0.13765642775881684,0.4253028263795424,0.08506616257088846,0.3392226148409894,0.14457831325301204,0.3178114086146682,0.17326732673267325,0.13144590495449948,0.10636363636363637,0.08,0.2772808586762075
0.12333333333333334,0.22388059701492538,0.4562135112593828,0.3336766220391349,0.17747440273037543,0.32705248990578734,0.08506616257088846,0.3250883392226148,0.10843373493975904,0.15948777648428406,0.21534653465346534,0.1820020222446916,0.14181818181818182,0.07888888888888888,0.3103756708407871
0.11222222222222222,0.208955223880597,0.3869891576313595,0.21318228630278063,0.1296928327645051,0.23687752355316286,0.1001890359168242,0.31095406360424027,0.12449799196787148,0.21420256111757857,0.21905940594059406,0.2032355915065723,0.11181818181818182,0.08555555555555555,0.2880143112701252
0.09222222222222222,0.14925373134328357,0.30692243536280234,0.23171987641606592,0.149032992036405,0.3768506056527591,0.08506616257088846,0.26501766784452296,0.12048192771084337,0.1920838183934808,0.11138613861386139,0.10616784630940344,0.08181818181818182,0.1,0.2110912343470483
0.07,0.21691542288557214,0.27773144286905754,0.1791967044284243,0.1285551763367463,0.3835800807537012,0.07750472589792061,0.29328621908127206,0.08032128514056225,0.13271245634458673,0.12871287128712872,0.2487360970677452,0.16090909090909092,0.14333333333333334,0.2710196779964222
0.3244444444444444,0.21293532338308457,0.35529608006672225,0.25025746652935116,0.12741751990898748,0.21399730820995963,0.1001890359168242,0.49823321554770317,0.20481927710843373,0.25261932479627475,0.2747524752475248,0.23660262891809908,0.1809090909090909,0.23222222222222222,0.4293381037567084
0.07444444444444444,0.1791044776119403,0.30692243536280234,0.266735324407827,0.22184300341296928,0.3082099596231494,0.09262759924385633,0.2968197879858657,0.11646586345381527,0.220023282887078,0.26113861386138615,0.21638018200202225,0.15272727272727274,0.08777777777777777,0.22003577817531306
0.10555555555555556,0.18308457711442785,0.33194328607172646,0.19979402677651906,0.10921501706484642,0.19650067294751009,0.08506616257088846,0.26501766784452296,0.12048192771084337,0.1559953434225844,0.10396039603960396,0.13549039433771487,0.06727272727272728,0.10888888888888888,0.27906976744186046
0.11222222222222222,0.1791044776119403,0.3469557964970809,0.2286302780638517,0.12627986348122866,0.26783310901749663,0.05671077504725898,0.31802120141342755,0.1566265060240964,0.16996507566938301,0.18316831683168316,0.1820020222446916,0.10636363636363637,0.09777777777777778,0.2370304114490161
0.11222222222222222,0.1791044776119403,0.3469557964970809,0.2286302780638517,0.12627986348122866,0.26783310901749663,0.05671077504725898,0.31802120141342755,0.1566265060240964,0.16996507566938301,0.18316831683168316,0.1820020222446916,0.10636363636363637,0.09777777777777778,0.2370304114490161
0.09888888888888889,0.17412935323383086,0.4286905754795663,0.21730175077239958,0.17747440273037543,0.32166890982503366,0.0831758034026465,0.2791519434628975,0.07630522088353414,0.16181606519208383,0.4158415841584158,0.17593528816986856,0.10272727272727272,0.12111111111111111,0.24239713774597496
